Date_Time,User,Author,Tweet_text,Likes,Retweets
08-07-2022 14:39,Flipkart,Flipkart,@Dharanidharan59 now it's time to click on buy now 🤌,4,3
08-07-2022 12:39,Flipkart,Flipkart,"RT @FlipkartStories: Since 2019, @Flipkart’s Kirana program has grown to include over 100,000 partners across India. In Dehradun, #Kirana p…",0,36
08-07-2022 10:59,Flipkart,Flipkart,"It took only 8 years 7 months 6 days give or take! 

#Thor #ThorLoveAndThunder https://t.co/Oj6bX4WWr8",116,13
08-07-2022 06:30,Flipkart,Flipkart,"It's the moving day y'all 🫵
yes, time to move your items from wishlist to cart",85,11
07-07-2022 14:30,Flipkart,Flipkart,"dil sambhal ja zara, fir shopping karne chala hai tu 🎶 https://t.co/aOg3KToI36",221,18
07-07-2022 12:10,Flipkart,Flipkart,@mybajajcapital Aha good one 🤌,1,0
07-07-2022 07:53,Flipkart,Flipkart,"Mahi's stumping             Me during a flash sale

                             🤝

                    being the fastest

#HappyBirthdayThala #Msd #HappyBirthdayDhoni",88,13
06-07-2022 06:30,Flipkart,Flipkart,"ˡᵒᵛᵉ                   ˡᵒᵛᵉ                  ˡᵒᵛᵉ
            ˡᵒᵛᵉ                    ˡᵒᵛᵉ

ˡᵒᵛᵉ          Free Delivery         ˡᵒᵛᵉ

            ˡᵒᵛᵉ                     ˡᵒᵛᵉ
ˡᵒᵛᵉ                   ˡᵒᵛᵉ                  ˡᵒᵛᵉ",284,26
05-07-2022 14:30,Flipkart,Flipkart,impulsive buyer bf 🤝 over analyzing everything before ordering gf,82,10
05-07-2022 08:48,Flipkart,Flipkart,@VandeBharat_ 89*,2,0
05-07-2022 08:47,Flipkart,Flipkart,@sudhir_vaishnav what is this reverse uno move? 😭🤌,3,0
05-07-2022 08:46,Flipkart,Flipkart,@Dharanidharan59 hope they actually react like this 🫡,3,0
05-07-2022 08:45,Flipkart,Flipkart,@itssusmitaaa_ honest reaction 😩🤌,1,0
05-07-2022 07:01,Flipkart,Flipkart,"RT @DIZOTech: Always in a bad mood because your earbuds shut down midway? Keep vibing with #DIZOBudsP's 40 hours total playtime, listening…",0,22
05-07-2022 06:30,Flipkart,Flipkart,your battery percentage is the amount of things you should order this year!,134,17
04-07-2022 14:30,Flipkart,Flipkart,your 5th emoji is how your parents would react if they looked at your wishlist!,141,8
04-07-2022 14:11,Flipkart,Flipkart,@thefreeskoutapp yeh kaisi duvidha hai 😔🤌,1,0
04-07-2022 06:30,Flipkart,Flipkart,"They don’t read reviews before ordering, is it a red flag?",116,13
03-07-2022 14:45,Flipkart,Flipkart,"RT @0xFiredrops: Firedrops, but a wrong answer 🤣 https://t.co/paxcrGfh4a",0,15
03-07-2022 14:30,Flipkart,Flipkart,"Nothing, just doing some window shopping https://t.co/HZnIKMxmst",121,9
03-07-2022 09:52,Flipkart,Flipkart,"@0xFiredrops Gm! 🔥
Are we talking about the weather or Firedrops?",3,0
03-07-2022 07:41,Flipkart,Flipkart,@AnshBehre this is exactly how it is 😩🤌,1,0
03-07-2022 06:30,Flipkart,Flipkart,tell us you're an impulsive shopper without telling us you're an impulsive shopper 👀,83,8
02-07-2022 14:36,Flipkart,Flipkart,Which one are you?,74,16
02-07-2022 09:30,Flipkart,Flipkart,"ordered my favourite product, now what? 🥲",171,10
02-07-2022 08:04,Flipkart,Flipkart,"RT @whirlpool_india: Drumrolls please 🥁
#Whirlpool is launching a one of its kind 'Magic Clean' series, available exclusively on @Flipkart…",0,5
02-07-2022 06:30,Flipkart,Flipkart,normalise 👏 weekend 👏 splurging 👏,84,3
