Date_Time,User,Author,Tweet_text,Likes,Retweets
08-07-2022 23:00,Microsoft,Microsoft,"ADLaM: The “alphabet that protects the people from vanishing.”​
​
Learn how a font became an alphabet, enabling 40 million Fulani people to communicate digitally and create a global community. https://t.co/fz7yZFLARo",133,19
08-07-2022 21:30,Microsoft,Microsoft,New AI-powered filters give you the option to adjust brightness and add a soft focus for your meetings: https://t.co/93gq3TG4fH,90,13
08-07-2022 21:30,Microsoft,Microsoft,Brightness and focus filters in Microsoft Teams. 📈,263,21
08-07-2022 21:28,Microsoft,Microsoft,@keymw_ Not a vibe. 🥱,2,1
08-07-2022 21:27,Microsoft,Microsoft,@Dbabyshea LOL,1,0
08-07-2022 21:26,Microsoft,Microsoft,@Dee4Three84 Could have fooled us. ✨,0,0
08-07-2022 21:25,Microsoft,Microsoft,@UninformdGamers 😂😂,2,0
08-07-2022 20:32,Microsoft,Microsoft,@mitthrawnu Work besties supporting work besties &gt;&gt;,5,3
08-07-2022 20:31,Microsoft,Microsoft,@megantripp_ Oof. Playlist link? 👀,0,0
08-07-2022 20:30,Microsoft,Microsoft,@srixracha It's the effort that counts.,2,0
08-07-2022 20:30,Microsoft,Microsoft,@_r_p_b Truly. 👏,2,0
08-07-2022 20:28,Microsoft,Microsoft,@brandonleblanc Sometimes it's really like that. 🤣🤣,9,0
08-07-2022 20:26,Microsoft,Microsoft,@MicrosoftTeams Ha ... ha,24,2
08-07-2022 20:00,Microsoft,Microsoft,"RT @MSFTIssues: To stem the impacts of climate change, the world needs to reach net zero carbon emissions. 🏭 
 
But what exactly does “net…",0,13
08-07-2022 18:00,Microsoft,Microsoft,Flexible work doesn’t have to mean “always on.”,530,75
08-07-2022 17:02,Microsoft,Microsoft,"How AI, virtual visits, and increased access to healthcare services are building a brighter future for mental healthcare: https://t.co/dDDp6hi85K",99,22
08-07-2022 16:07,Microsoft,Microsoft,@johnsondwayne69 😂 ... 😐,1,0
08-07-2022 16:06,Microsoft,Microsoft,@geo_walters We actually did LOL at this.,4,0
08-07-2022 16:06,Microsoft,Microsoft,@wondertaupe You're the real deal. 💯,1,0
08-07-2022 16:05,Microsoft,Microsoft,@UOPX Literally.,3,0
08-07-2022 16:04,Microsoft,Microsoft,@GrabLabs The truth.,2,0
08-07-2022 16:03,Microsoft,Microsoft,@drg1985 It never ceases to amaze us. 😂,0,0
08-07-2022 16:02,Microsoft,Microsoft,@CoyDavidsonCRE 😂 WFH vibes.,0,0
08-07-2022 16:01,Microsoft,Microsoft,@Bored_Karbatos That EOD feeling. 🙌,6,0
07-07-2022 22:28,Microsoft,Microsoft,"Higher education faculty must inspire collaboration, connection, and creativity in students both inside the classroom and online. 

Discover the importance of technology and training in academia: https://t.co/uPTSAHqkik",123,19
07-07-2022 22:22,Microsoft,Microsoft,@AmyOverend 5 minutes. Time is precious.,3,0
07-07-2022 22:21,Microsoft,Microsoft,@SpeedBird31 I think we found Flight Simulator's #1 fan. 👏,22,2
07-07-2022 22:19,Microsoft,Microsoft,@devkincaid Don't get us started.,2,0
07-07-2022 22:18,Microsoft,Microsoft,@LanceUlanoff We're always paying attention to you. ☝,6,0
07-07-2022 22:18,Microsoft,Microsoft,@pants_are_pink So ReAsOnAbLe!,2,0
07-07-2022 22:17,Microsoft,Microsoft,@sappy_why No comment.,3,0
07-07-2022 22:16,Microsoft,Microsoft,@Dell How the email finds me: 🤨🙃🥴,27,1
07-07-2022 22:15,Microsoft,Microsoft,"@JenMsft Always with the quick tips, Jen. 🙌",15,1
07-07-2022 22:02,Microsoft,Microsoft,@CollectiveMaven Legends only. 😎,2,0
07-07-2022 21:30,Microsoft,Microsoft,"You in the Teams chat: haha LOL
You in real life: 😐",1571,183
