Date_Time,User,Author,Tweet_text,Likes,Retweets
08-07-2022 12:30,Paytm,Paytm,"@naveensingroha_ Hi, we are at your service to answer all your questions and clear all your doubts. Can you please elaborate a bit more via DM so that we can help you better?",0,0
08-07-2022 04:27,Paytm,Paytm,"Parivar, rishtedar aur Paytm!

Now receive pocket money instantly using #PaytmSeUPI ✅",31,3
07-07-2022 17:32,Paytm,Paytm,@pawansingh523 So sorry! Can we please have your order id via DM to quickly check this?,1,0
07-07-2022 10:45,Paytm,Paytm,"@thinkbigofficil Hi, helping you out is our priority. It is advisable to share your confidential details via DM (Direct Message) only. Also, please follow us in DM so that we can assist you properly.",0,0
07-07-2022 05:51,Paytm,Paytm,Smart &amp; easy way to pay fees! Simply enter mobile number and pay securely using #PaytmSeUPI ✅,34,2
06-07-2022 12:34,Paytm,Paytm,Just enter mobile number &amp; make secure payments in less than 5 seconds using #PaytmSeUPI ✅,42,2
06-07-2022 04:44,Paytm,Paytm,"Far by the distance, close by heart. 🫂

Send money to relatives &amp; friends securely using #PaytmSeUPI. ✅",34,0
05-07-2022 12:20,Paytm,Paytm,"@Saurabh31008091 Hi, we have replied you via Direct Message, kindly check the same.",0,0
05-07-2022 06:06,Paytm,Paytm,"No leaks here.😌

Simply enter the mobile number &amp; send money securely using #PaytmSeUPI ✅",50,4
04-07-2022 12:27,Paytm,Paytm,"@AnnuAnna5 Hi, helping you out is our priority. It is advisable to share your confidential details via DM (Direct Message) only. Also, please follow us in DM so that we can assist you properly.",0,0
04-07-2022 12:01,Paytm,Paytm,𝑹𝒆-𝒍𝒆𝒂𝒔𝒆 all your rent woes. Pay house rent instantly using #PaytmSeUPI ✅,31,4
04-07-2022 10:45,Paytm,Paytm,"@Riseup16242151 Hi there, our team is in touch with you to resolve this issue. We'll keep you posted as we progress with the resolution.",0,0
04-07-2022 10:15,Paytm,Paytm,@manthan_2944 Thanks for the details. We're in touch with the bus operator. Kindly let us investigate into your concern and we shall get back within the next 48 hours.,0,0
04-07-2022 09:43,Paytm,Paytm,"@DevajiDas Hi Devanand, we'd like to look into these details and clarify it. Kindly share your booking ID or a screenshot of the fare-breakup you're referring to.",0,0
04-07-2022 09:37,Paytm,Paytm,"@manthan_2944 Hi Bhardwaj, sorry to know about the hassle! Please share your registered contact details and the Booking ID, we'll take it from there. https://t.co/poDlIneG81",0,0
04-07-2022 05:57,Paytm,Paytm,Coolest way to send money. Simply enter mobile number &amp; send money to service professionals using #PaytmSeUPI ✅,37,5
03-07-2022 12:55,Paytm,Paytm,"Friends, family or rishtedaar. 

All you need is a mobile number to send money to anyone using #PaytmSeUPI ✅",51,4
03-07-2022 07:42,Paytm,Paytm,"@SandipanTm @realmecareIN @realmeIndia @GyanTherapy @AmreliaRuhez Hi,

Paytm is a completely safe and secure app. This is an erroneous and false notification arising from the device end, and we have already taken this up with the device manufacturer. Please ignore this notification.",1,0
03-07-2022 07:41,Paytm,Paytm,"@Aswinbolt Hi,

Paytm is a completely safe and secure app. This is an erroneous and false notification arising from the device end, and we have already taken this up with the device manufacturer. Please ignore this notification.",1,0
03-07-2022 07:41,Paytm,Paytm,"@SanjeevPal_ Hi,

Paytm is a completely safe and secure app. This is an erroneous and false notification arising from the device end, and we have already taken this up with the device manufacturer. Please ignore this notification.",0,0
03-07-2022 07:40,Paytm,Paytm,"@Jitendraqa Hi,

Paytm is a completely safe and secure app. This is an erroneous and false notification arising from the device end, and we have already taken this up with the device manufacturer. Please ignore this notification.",0,0
03-07-2022 07:39,Paytm,Paytm,"@hrao2502 @GyanTherapy @Paytmcare Hi,

Paytm is a completely safe and secure app. This is an erroneous and false notification arising from the device end, and we have already taken this up with the device manufacturer. Please ignore this notification.",1,0
03-07-2022 07:38,Paytm,Paytm,"@Ajay30007 @Paytmcare @PaytmCybercell @RBI @cyber Hi,

Paytm is a completely safe and secure app. This is an erroneous and false notification arising from the device end, and we have already taken this up with the device manufacturer. Please ignore this notification.",0,0
03-07-2022 07:36,Paytm,Paytm,"@kapilrajoria_ Hi,

Paytm is a completely safe and secure app. This is an erroneous and false notification arising from the device end, and we have already taken this up with the device manufacturer. Please ignore this notification.",1,0
02-07-2022 14:17,Paytm,Paytm,"Don't let distance stop you!

Send money directly to their Bank A/c, from anywhere using #PaytmSeUPI ✅",39,1
02-07-2022 05:34,Paytm,Paytm,Simply enter mobile number and send money to anyone securely using #PaytmSeUPI ✅,42,2
